#Config,TranslationTime,#Vars,#Clauses
10,267,90,3551
11,254,110,4775
12,398,132,6253
13,280,156,8009
14,443,182,10067
15,468,210,12451
16,504,240,15185
17,549,272,18293
18,675,306,21799
19,863,342,25727
20,926,380,30101
21,1090,420,34945
22,1195,462,40283
23,1457,506,46139
24,1716,552,52537
25,1784,600,59501
26,2165,650,67055
27,2206,702,75223
28,2560,756,84029
29,2785,812,93497
30,3260,870,103651
31,3429,930,114515
32,3861,992,126113
33,4168,1056,138469
34,4366,1122,151607
35,4798,1190,165551
36,5179,1260,180325
37,5720,1332,195953
38,6218,1406,212459
39,6743,1482,229867
40,7282,1560,248201
41,8044,1640,267485
42,8566,1722,287743
43,9358,1806,308999
44,9969,1892,331277
45,10779,1980,354601
46,11640,2070,378995
47,12645,2162,404483
48,13947,2256,431089
49,15036,2352,458837
