#Config,TranslationTime,#Vars,#Clauses 
10,32,90,962
11,52,110,1234
12,45,132,1550
13,56,156,1913
14,72,182,2326
15,71,210,2792
16,81,240,3314
17,95,272,3895
18,195,306,4538
19,201,342,5246
20,144,380,6022
21,133,420,6869
22,166,462,7790
23,163,506,8788
24,176,552,9866
25,184,600,11027
26,246,650,12274
27,255,702,13610
28,249,756,15038
29,236,812,16561
30,273,870,18182
31,310,930,19904
32,309,992,21730
33,330,1056,23663
34,397,1122,25706
35,386,1190,27862
36,397,1260,30134
37,437,1332,32525
38,473,1406,35038
39,460,1482,37676
40,537,1560,40442
41,543,1640,43339
42,536,1722,46370
43,603,1806,49538
44,620,1892,52846
45,630,1980,56297
46,668,2070,59894
47,724,2162,63640
48,758,2256,67538
49,818,2352,71591
