#Config,TranslationTime,#Vars,#Clauses 
10,45,90,962
11,52,110,1234
12,84,132,1550
13,105,156,1913
14,128,182,2326
15,118,210,2792
16,102,240,3314
17,115,272,3895
18,160,306,4538
19,167,342,5246
20,175,380,6022
21,230,420,6869
22,216,462,7790
23,214,506,8788
24,231,552,9866
25,317,600,11027
26,271,650,12274
27,292,702,13610
28,434,756,15038
29,355,812,16561
30,435,870,18182
31,411,930,19904
32,454,992,21730
33,463,1056,23663
34,537,1122,25706
35,530,1190,27862
36,568,1260,30134
37,612,1332,32525
38,662,1406,35038
39,685,1482,37676
40,720,1560,40442
41,795,1640,43339
42,870,1722,46370
43,886,1806,49538
44,918,1892,52846
45,1000,1980,56297
46,1008,2070,59894
47,1080,2162,63640
48,1118,2256,67538
49,1178,2352,71591
