#Config,TranslationTime,#Vars,#Clauses 
10,114,90,1889
11,78,110,2424
12,93,132,3046
13,103,156,3761
14,119,182,4575
15,137,210,5494
16,154,240,6524
17,166,272,7671
18,196,306,8941
19,213,342,10340
20,228,380,11874
21,261,420,13549
22,280,462,15371
23,303,506,17346
24,362,552,19480
25,360,600,21779
26,391,650,24249
27,443,702,26896
28,475,756,29726
29,493,812,32745
30,562,870,35959
31,568,930,39374
32,637,992,42996
33,668,1056,46831
34,710,1122,50885
35,728,1190,55164
36,791,1260,59674
37,861,1332,64421
38,890,1406,69411
39,982,1482,74650
40,1002,1560,80144
41,1049,1640,85899
42,1132,1722,91921
43,1181,1806,98216
44,1234,1892,104790
45,1296,1980,111649
46,1359,2070,118799
47,1437,2162,126246
48,1498,2256,133996
49,1568,2352,142055
