#Config,TranslationTime,#Vars,#Clauses 
10,44,90,1889
11,56,110,2424
12,57,132,3046
13,54,156,3761
14,49,182,4575
15,80,210,5494
16,105,240,6524
17,81,272,7671
18,86,306,8941
19,127,342,10340
20,100,380,11874
21,99,420,13549
22,106,462,15371
23,117,506,17346
24,129,552,19480
25,165,600,21779
26,186,650,24249
27,172,702,26896
28,182,756,29726
29,202,812,32745
30,225,870,35959
31,243,930,39374
32,268,992,42996
33,274,1056,46831
34,302,1122,50885
35,334,1190,55164
36,385,1260,59674
37,416,1332,64421
38,434,1406,69411
39,461,1482,74650
40,486,1560,80144
41,512,1640,85899
42,550,1722,91921
43,607,1806,98216
44,628,1892,104790
45,679,1980,111649
46,703,2070,118799
47,757,2162,126246
48,784,2256,133996
49,860,2352,142055
50,886,2450,150429
51,940,2550,159124
52,999,2652,168146
53,1044,2756,177501
54,1146,2862,187195
55,1192,2970,197234
56,1247,3080,207624
57,1291,3192,218371
58,1387,3306,229481
59,1428,3422,240960
60,1542,3540,252814
61,1581,3660,265049
62,1674,3782,277671
63,1770,3906,290686
64,1848,4032,304100
65,1966,4160,317919
66,1904,4290,332149
67,2009,4422,346796
68,2118,4556,361866
69,2186,4692,377365
70,2377,4830,393299
71,2340,4970,409674
72,2612,5112,426496
73,2653,5256,443771
74,2681,5402,461505
75,2814,5550,479704
76,3104,5700,498374
77,3050,5852,517521
78,3090,6006,537151
79,3250,6162,557270
80,3406,6320,577884
81,3479,6480,598999
82,3562,6642,620621
83,3795,6806,642756
84,4034,6972,665410
85,4115,7140,688589
86,4210,7310,712299
87,4418,7482,736546
88,4397,7656,761336
89,4712,7832,786675
90,4803,8010,812569
91,4997,8190,839024
92,5198,8372,866046
93,5373,8556,893641
94,5588,8742,921815
95,5680,8930,950574
96,5776,9120,979924
97,6058,9312,1009871
98,6400,9506,1040421
99,6541,9702,1071580
