#Config,TranslationTime,#Vars,#Clauses 
10,45,90,962
11,74,110,1234
12,70,132,1550
13,85,156,1913
14,114,182,2326
15,134,210,2792
16,158,240,3314
17,156,272,3895
18,132,306,4538
19,145,342,5246
20,200,380,6022
21,309,420,6869
22,211,462,7790
23,211,506,8788
24,319,552,9866
25,363,600,11027
26,343,650,12274
27,287,702,13610
28,315,756,15038
29,371,812,16561
30,371,870,18182
31,416,930,19904
32,463,992,21730
33,442,1056,23663
34,475,1122,25706
35,503,1190,27862
36,515,1260,30134
37,589,1332,32525
38,622,1406,35038
39,626,1482,37676
40,660,1560,40442
41,733,1640,43339
42,724,1722,46370
43,753,1806,49538
44,822,1892,52846
45,847,1980,56297
46,905,2070,59894
47,964,2162,63640
48,975,2256,67538
49,1040,2352,71591
