#Config,TranslationTime,#Vars,#Clauses 
10,113,90,1242
11,75,110,1630
12,85,132,2090
13,100,156,2628
14,125,182,3250
15,160,210,3962
16,176,240,4770
17,223,272,5680
18,243,306,6698
19,285,342,7830
20,332,380,9082
21,412,420,10460
22,429,462,11970
23,493,506,13618
24,587,552,15410
25,685,600,17352
26,792,650,19450
27,822,702,21710
28,954,756,24138
29,1115,812,26740
30,1177,870,29522
31,1402,930,32490
32,1509,992,35650
33,1650,1056,39008
34,1924,1122,42570
35,2087,1190,46342
36,2324,1260,50330
37,2571,1332,54540
38,2856,1406,58978
39,3218,1482,63650
40,3430,1560,68562
41,3950,1640,73720
42,4166,1722,79130
43,4610,1806,84798
44,4955,1892,90730
45,5229,1980,96932
46,5869,2070,103410
47,7233,2162,110170
48,6565,2256,117218
49,7321,2352,124560
