#Config,TranslationTime,#Vars,#Clauses
10,3,90,1359
11,4,110,1690
12,5,132,2057
13,6,156,2460
14,7,182,2899
15,7,210,3374
16,9,240,3885
17,12,272,4432
18,11,306,5015
19,12,342,5634
20,14,380,6289
21,15,420,6980
22,20,462,7707
23,22,506,8470
24,20,552,9269
25,21,600,10104
26,21,650,10975
27,21,702,11882
28,20,756,12825
29,24,812,13804
30,25,870,14819
31,25,930,15870
32,25,992,16957
33,28,1056,18080
34,30,1122,19239
35,31,1190,20434
36,25,1260,21665
37,26,1332,22932
38,32,1406,24235
39,34,1482,25574
40,40,1560,26949
41,41,1640,28360
42,40,1722,29807
43,42,1806,31290
44,44,1892,32809
45,54,1980,34364
46,47,2070,35955
47,48,2162,37582
48,56,2256,39245
49,56,2352,40944
50,58,2450,42679
51,63,2550,44450
52,65,2652,46257
53,68,2756,48100
54,71,2862,49979
55,76,2970,51894
56,78,3080,53845
57,87,3192,55832
58,89,3306,57855
59,94,3422,59914
60,96,3540,62009
61,102,3660,64140
62,104,3782,66307
63,113,3906,68510
64,170,4032,70749
65,157,4160,73024
66,130,4290,75335
67,145,4422,77682
68,139,4556,80065
69,146,4692,82484
70,151,4830,84939
71,155,4970,87430
72,162,5112,89957
73,170,5256,92520
74,175,5402,95119
75,181,5550,97754
76,191,5700,100425
77,204,5852,103132
78,202,6006,105875
79,212,6162,108654
80,221,6320,111469
81,229,6480,114320
82,239,6642,117207
83,252,6806,120130
84,251,6972,123089
85,255,7140,126084
86,269,7310,129115
87,277,7482,132182
88,286,7656,135285
89,298,7832,138424
90,300,8010,141599
91,313,8190,144810
92,332,8372,148057
93,336,8556,151340
94,353,8742,154659
95,360,8930,158014
96,368,9120,161405
97,394,9312,164832
98,392,9506,168295
99,404,9702,171794
