#Config,TranslationTime,SolvingTime,Sat,#Vars,#Clauses 
10,94,0,false,90,1877
11,120,0,false,110,2411
12,150,0,false,132,3032
13,181,0,false,156,3746
14,231,0,false,182,4559
15,281,0,false,210,5477
16,339,0,false,240,6506
17,405,0,false,272,7652
18,480,0,false,306,8921
19,574,0,false,342,10319
20,681,0,false,380,11852
21,775,0,false,420,13526
22,897,0,false,462,15347
23,1076,0,false,506,17321
24,1238,0,false,552,19454
25,1437,0,false,600,21752
26,1673,0,false,650,24221
27,1939,0,false,702,26867
28,2218,0,false,756,29696
29,2509,0,false,812,32714
30,2846,0,false,870,35927
31,3119,0,false,930,39341
32,3473,0,false,992,42962
33,3941,0,false,1056,46796
34,4411,0,false,1122,50849
35,4861,0,false,1190,55127
36,5414,0,false,1260,59636
37,6072,0,false,1332,64382
38,6730,0,false,1406,69371
39,7442,0,false,1482,74609
40,8195,0,false,1560,80102
41,8951,0,false,1640,85856
42,9824,0,false,1722,91877
43,10842,0,false,1806,98171
44,11887,0,false,1892,104744
45,12945,0,false,1980,111602
46,14233,0,false,2070,118751
47,15402,0,false,2162,126197
48,16879,0,false,2256,133946
49,18386,0,false,2352,142004
